seed,gate_mode,optimizer,step,S,lag,prefix,mean_probability,min_probability,mean_attention,min_attention,certified_probability_lower_bound,example_count,train_R
0,learned,adam,3,0.0,18,64,0.4962500715644819,0.4962500715644636,2.6214349261766157e-08,2.6211903188672515e-08,0.4962500715639208,112,2
0,learned,adam,3,0.0,19,0,0.49625007144020833,0.49625007144020167,9.643602075832607e-09,9.642702226819307e-09,0.496250071440002,112,2
0,learned,adam,3,0.0,19,64,0.49625007144020833,0.49625007144020167,9.643602021710373e-09,9.642702172707187e-09,0.496250071440002,112,2
0,learned,adam,3,0.0,20,0,0.4962500713944912,0.49625007139448873,3.5476394707922793e-09,3.5473084388944643e-09,0.49625007139441524,112,2
0,learned,adam,3,0.0,20,64,0.4962500713944912,0.49625007139448873,3.547639463467809e-09,3.547308431571362e-09,0.49625007139441524,112,2
0,learned,adam,3,0.0,21,0,0.496250071377673,0.49625007137767213,1.3050876367390188e-09,1.3049658584011309e-09,0.49625007137764504,112,2
0,learned,adam,3,0.0,21,64,0.496250071377673,0.49625007137767213,1.3050876357477833e-09,1.3049658574100802e-09,0.49625007137764504,112,2
0,learned,adam,3,0.0,22,0,0.4962500713714861,0.4962500713714857,4.801090288316293e-10,4.800642296335229e-10,0.49625007137147575,112,2
0,learned,adam,3,0.0,22,64,0.4962500713714861,0.4962500713714857,4.801090286974839e-10,4.800642294994033e-10,0.49625007137147575,112,2
0,learned,adam,3,0.0,23,0,0.49625007136920996,0.49625007136920984,1.7662007756903948e-10,1.7660359706696277e-10,0.49625007136920624,112,2
0,learned,adam,3,0.0,23,64,0.49625007136920996,0.49625007136920984,1.7662007755088553e-10,1.7660359704881145e-10,0.49625007136920624,112,2
0,learned,adam,3,0.0,24,0,0.4962500713683728,0.4962500713683727,6.497409948709331e-11,6.496803672346855e-11,0.49625007136837124,112,2
0,learned,adam,3,0.0,24,64,0.4962500713683728,0.4962500713683727,6.497409948463641e-11,6.496803672101224e-11,0.49625007136837124,112,2
0,learned,adam,3,0.0,25,0,0.49625007136806465,0.4962500713680646,2.3902342601344267e-11,2.3900112262572055e-11,0.49625007136806415,112,2
0,learned,adam,3,0.0,25,64,0.49625007136806465,0.4962500713680646,2.3902342601011808e-11,2.390011226223963e-11,0.49625007136806415,112,2
0,learned,adam,3,0.0,26,0,0.4962500713679514,0.4962500713679513,8.793072722063858e-12,8.792252236333804e-12,0.4962500713679512,112,2
0,learned,adam,3,0.0,26,64,0.4962500713679514,0.4962500713679513,8.793072722018864e-12,8.792252236288823e-12,0.4962500713679512,112,2
0,learned,adam,3,0.0,27,0,0.4962500713679097,0.4962500713679097,3.234751052877248e-12,3.234449216742933e-12,0.4962500713679096,112,2
0,learned,adam,3,0.0,27,64,0.4962500713679097,0.4962500713679097,3.2347510528711564e-12,3.2344492167368427e-12,0.4962500713679096,112,2
0,learned,adam,3,0.0,28,0,0.49625007136789445,0.4962500713678944,1.1899838321427839e-12,1.1898727941946018e-12,0.4962500713678943,112,2
0,learned,adam,3,0.0,28,64,0.49625007136789445,0.4962500713678944,1.1899838321419593e-12,1.1898727941937772e-12,0.4962500713678943,112,2
0,learned,adam,3,0.0,29,0,0.49625007136788873,0.49625007136788873,4.3776522446842804e-13,4.377243763904984e-13,0.49625007136788873,112,2
0,learned,adam,3,0.0,29,64,0.49625007136788873,0.49625007136788873,4.377652244683161e-13,4.3772437639038643e-13,0.49625007136788873,112,2
0,learned,adam,3,0.0,30,0,0.4962500713678866,0.4962500713678866,1.6104285333765004e-13,1.6102782635365162e-13,0.4962500713678866,112,2
0,learned,adam,3,0.0,30,64,0.4962500713678866,0.4962500713678866,1.6104285333763517e-13,1.6102782635363672e-13,0.4962500713678866,112,2
