seed,gate_mode,optimizer,step,S,delta_min,max_row_norm,m,h,w,m_rho,reference_gap,reference_gap_retained,probe,theta,clock_power,coefficient,lag,lower_error,upper_error,log_lower_error,log_upper_error,bound_valid,bound_invalid_reason,lower_bound_method,upper_bound_method
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,fixed,,,,512,0.5037499286321145,0.5037499286321145,-0.685675307394476,-0.685675307394476,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,adaptive_theta,0.25,,,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,reference_theta,0.25,,,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,adaptive_theta,0.5,,,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,reference_theta,0.5,,,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,adaptive_theta,0.75,,,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,reference_theta,0.75,,,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,clock,,1,0.001,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,clock,,1,0.003,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,clock,,1,0.01,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,clock,,1,0.03,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,3,0.0,0.007296790750680032,0.08513033326726434,0.24998097685362677,1.0000122501057074,0.014999995771892517,0.0006911233281133953,0.007296790750680032,True,clock,,1,0.1,1,0.49900906358650665,0.5013818470207912,-0.6951310198955595,-0.6903872984989237,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,1000,11.328690783793768,0.007299925405491595,0.08514650553473156,139.89296099649093,1.011217417463079,1.147869054803978,8.469064160060374e-61,0.007296790750680032,True,fixed,,,,1,0.4224472998218682,0.5184969212711285,-0.861690574114284,-0.6568211890907845,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,1000,11.328690783793768,0.007299925405491595,0.08514650553473156,139.89296099649093,1.011217417463079,1.147869054803978,8.469064160060374e-61,0.007296790750680032,True,fixed,,,,2,0.5626041540944389,0.6020271905078639,-0.5751789992095258,-0.5074526677367277,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,1000,11.328690783793768,0.007299925405491595,0.08514650553473156,139.89296099649093,1.011217417463079,1.147869054803978,8.469064160060374e-61,0.007296790750680032,True,fixed,,,,3,0.6711418721188515,0.6803551245474566,-0.3987747305012444,-0.38514037515131483,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
0,learned,adam,1000,11.328690783793768,0.007299925405491595,0.08514650553473156,139.89296099649093,1.011217417463079,1.147869054803978,8.469064160060374e-61,0.007296790750680032,True,fixed,,,,4,0.7247253008581849,0.7262462388803279,-0.32196259129446986,-0.3198661496516941,True,,infinite_stale_prefix_max_all_pairs,uniform_arbitrary_stream_transfer
